Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
1/22/2025 0:00,cheetah-20,1.867286086,243.089447,5076.780273,1905.142822,97.9549408,6247.340393,15700,7240,7090,,,,,,,,7030,1050,,15700,7240,7090
2/14/2025 0:00,cheetah-20,1.896484256,267.2891846,4077.039307,1383.942871,98.45133972,6605.519867,15840,7550,7340,,,,,,,,7490,1090,,15840,7550,7340
2/19/2025 0:00,cheetah-20,1.876656294,269.7120667,4085.431152,1416.120972,98.27770996,6533.729553,15870,7650,7480,,,,,,,,7610,1100,,15870,7650,7480
3/13/2025 0:00,cheetah-20,1.878854632,263.4501953,5186.026367,1900.382935,98.14215088,6335.570145,15910,7310,7110,,,,,,,,7180,1080,,15910,7310,7110
4/8/2025 0:00,cheetah-20,1.838632584,420.0928345,5830.429199,1833.879272,114.5046387,6854.640961,15530,7390,7170,,,,,,,,7170,1180,,15530,7390,7170
4/23/2025 0:00,cheetah-20,1.866623521,407.9193726,5914.786133,1956.454834,113.2237854,6692.264557,15360,7560,7330,,,,,,,,7360,1180,,15360,7560,7330
4/28/2024 0:00,elephant-21,0,156.3826245,826.5062502,63.94572309,78.21191538,9226.312891,,,,,,,,,,,,,,,,
4/29/2024 0:00,elephant-21,1.031174514,386.8022241,4278.698301,1763.670848,91.77014752,7373,,,,,,,,,,,10150,1050,,,,
4/30/2024 0:00,elephant-21,2.05824866,519.0582597,6900.800683,3413.150585,103.2919679,5052.5,,,,,,,,,,,7350,1180,,,,
5/1/2024 0:00,elephant-21,2.061380789,596.8141985,6449.114415,3308.579657,102.9111338,4869.620566,,,,,,,,,,,7040,1180,,,,
5/2/2024 0:00,elephant-21,2.057492298,592.1930373,6250.659813,3285.280367,102.0591503,4743.783806,,,,,,,,,,,6880,1120,,,,
5/5/2024 0:00,elephant-21,2.031249483,541.3064647,6153.650928,3347.174399,100.6333352,4560.669044,,,,,,,,,,,7530,1480,,,,
5/17/2024 0:00,elephant-21,2.059577225,917.6108227,4555.955828,2854.236855,99.7391527,3735.152484,,,,,,,,,,,5890,1030,,,,
5/28/2024 0:00,elephant-21,2.035722855,1007.785208,3273.110957,2853.340079,94.42341074,1282.482886,,,,,,,,,,,4950,990,,,,
6/5/2024 0:00,elephant-21,2.071685351,1130.355608,2479.42087,2224.997627,90.79770395,1026.139797,,,,,,,,,,,4400,940,,,,
7/16/2024 0:00,elephant-21,2.035756111,1217.41333,2104.835205,1907.17395,88.57185364,939.0818596,,,,,,,,,,,4040,1000,,,,
8/4/2024 0:00,elephant-21,2.060597658,1254.220581,2002.417969,1827.481445,88.1995163,873.6265182,3920,3880,12480,,,,,,,,3920,960,,3920,3880,12480
8/28/2024 0:00,elephant-21,2.032623529,1145.581299,2416.502197,2187.953857,90.37389374,945.7817078,4090,4050,3700,,,,,,,,4110,1000,,4090,4050,3700
9/6/2024 0:00,elephant-21,2.020749331,1641.022705,1416.459961,1323.274048,85.40346527,657.8787327,3090,8050,2880,,,,,,,,3140,940,,3090,8050,2880
9/17/2024 0:00,elephant-21,1.875342846,2084.771729,1311.467896,1214.053345,84.92195129,742.7906513,3200,9840,2770,,,,,,,,3070,930,,3200,9840,2770
